year,total_revenue_usd_bn,total_rd_spend_usd_bn,avg_operating_margin_pct,rd_intensity_pct,approval_count,blockbuster_count,mega_blockbuster_count,estimated_commercial_output_usd_bn,trial_count,successful_trials,failed_trials,avg_stock_impact_pct,trial_success_rate_pct,funding_deal_count,total_funding_usd_bn,avg_deal_value_usd_bn,megadeal_count,total_dalys_millions,avg_dalys_millions
2010,640.24,102.78,25.58,16.05,24,5,0,19.62,34,15,15,-1.91,44.12,35,16.17,0.46,0,2112.62,11.12
2011,643.01,103.49,25.83,16.09,32,7,2,27.81,42,23,8,-0.11,54.76,45,51.77,1.15,2,2091.57,11.01
2012,643.09,103.76,26.07,16.13,41,8,3,48.36,41,22,16,-0.69,53.66,50,64.84,1.3,1,2105.6,11.08
2013,662.43,107.49,26.6,16.23,29,7,3,47.67,42,20,12,0.04,47.62,55,58.6,1.07,2,2113.87,11.13
2014,674.78,109.63,25.39,16.25,44,6,3,77.37,32,19,8,2.26,59.38,62,174.81,2.82,4,2103.59,11.07
2015,688.35,111.98,25.82,16.27,48,10,3,44.66,36,21,12,-1.41,58.33,71,155.18,2.19,5,2089.48,11.0
2016,716.36,116.69,26.23,16.29,23,7,1,27.06,31,13,14,-4.12,41.94,66,54.72,0.83,1,2097.4,11.04
2017,732.36,118.88,26.6,16.23,52,20,3,83.63,41,24,10,-0.17,58.54,75,71.0,0.95,2,2092.33,11.01
2018,753.19,122.46,26.36,16.26,59,12,2,56.26,36,20,14,-2.3,55.56,88,48.24,0.55,0,2101.71,11.06
2019,785.16,128.23,26.42,16.33,50,7,2,39.88,33,19,10,-0.67,57.58,72,282.49,3.92,6,2093.35,10.47
2020,834.66,137.32,25.27,16.45,56,11,5,100.82,25,17,6,4.17,68.0,94,194.12,2.07,6,2207.88,11.04
2021,966.78,162.25,27.41,16.78,53,8,3,70.13,39,17,15,-4.17,43.59,133,263.44,1.98,7,2294.3,11.47
2022,1036.1,173.46,27.35,16.74,38,8,4,52.41,40,22,9,-0.75,55.0,102,112.85,1.11,3,2253.76,11.27
2023,956.56,158.98,21.9,16.62,61,13,3,57.4,41,14,17,-3.41,34.15,77,119.6,1.55,4,2219.98,11.1
2024,1019.32,169.81,24.3,16.66,55,11,1,36.57,42,20,16,-1.09,47.62,95,71.83,0.76,1,2206.33,11.03
2025,1096.55,182.76,23.15,16.67,50,12,3,49.23,40,22,13,0.08,55.0,81,141.42,1.75,3,2227.13,11.14
